; default emissions and input from SSP245 these are Hector inputs not provided by GCAM and do not vary with scenario,,,,,,,,,,,,,,,,,,,,
; commit eb2b79f43a291af,,,,,,,,,,,,,,,,,,,,
; date Tue Sep  2 11:44:20 2025,,,,,,,,,,,,,,,,,,,,
; UNITS:, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Gg, Tg CH4, Gg, Gg, Gg, Gg, Tg N, W/m2, W/m2, Gg, Gg, Gg
Date,CCl4_emissions,CFC113_emissions,CFC114_emissions,CFC115_emissions,CFC11_emissions,CFC12_emissions,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_emissions,CH4N,HCFC141b_emissions,HCFC142b_emissions,HCFC22_emissions,HFC4310_emissions,N2O_natural_emissions,RF_albedo,SV,halon1211_emissions,halon1301_emissions,halon2402_emissions
1851,0.024856862,0,0,0,0,0,104.96457,0,4269.2706,219.3656989,0,0,0,0,9.512875387,-0.031960748,0.184312799,0.007723273,0,0
1852,0.024856862,0,0,0,0,0,104.98199,0,4270.1861,221.0667189,0,0,0,0,9.616344853,-0.032664616,0.17954034,0.007723273,0,0
1853,0.024856862,0,0,0,0,0,104.9693,0,4269.5191,222.0406472,0,0,0,0,9.611241087,-0.033368484,0.015887254,0.007723273,0,0
1854,0.024856862,0,0,0,0,0,104.9226,0,4267.0641,221.2187471,0,0,0,0,9.663516276,-0.034072352,-0.014112612,0.007723273,0,0
1855,0.024856862,0,0,0,0,0,104.95064,0,4268.5385,222.5427901,0,0,0,0,9.679886789,-0.03477622,0.112948595,0.007723273,0,0
1856,0.024856862,0,0,0,0,0,104.92886,0,4267.3934,222.0326533,0,0,0,0,9.611748418,-0.035480088,0.122255611,0.007723273,0,0
1857,0.024856862,0,0,0,0,0,104.94976,0,4268.4922,222.4475481,0,0,0,0,9.527920486,-0.036183956,-0.044823331,0.007723273,0,0
1858,0.024856862,0,0,0,0,0,104.93987,0,4267.9722,223.1247606,0,0,0,0,9.818214377,-0.036887825,0.086287826,0.007723273,0,0
1859,0.024856862,0,0,0,0,0,104.91443,0,4266.635,223.3956405,0,0,0,0,9.929869113,-0.037591693,0.153503429,0.007723273,0,0
1860,0.024856862,0,0,0,0,0,104.89112,0,4265.4096,222.9291714,0,0,0,0,10.04167175,-0.038295561,0.176769374,0.007723273,0,0
